file_a_path,file_b_path,is_equal,class_a_name,class_b_name
test_request_form/2058003922.tif,test_request_form/2058003944.tif,1,test_request_form,test_request_form
test_request_form/2058003689_2058003690.tif,test_request_form/2058003944.tif,1,test_request_form,test_request_form
test_request_form/2058003944.tif,test_request_form/2058003684_2058003685.tif,1,test_request_form,test_request_form
test_request_form/2058003689_2058003690.tif,test_request_form/2058003689_2058003690.tif,1,test_request_form,test_request_form
test_request_form/2058003944.tif,test_request_form/2058003922.tif,1,test_request_form,test_request_form
test_request_form/2058003689_2058003690.tif,test_request_form/2058003961.tif,1,test_request_form,test_request_form
test_request_form/2058003944.tif,test_request_form/2058003684_2058003685.tif,1,test_request_form,test_request_form
test_request_form/2058003922.tif,test_request_form/2058003961.tif,1,test_request_form,test_request_form
test_request_form/2058003961.tif,test_request_form/2058003684_2058003685.tif,1,test_request_form,test_request_form
test_request_form/2058003922.tif,test_request_form/2058003944.tif,1,test_request_form,test_request_form
test_request_form/2058003688.tif,phillip_morris_test_distribution/2050627013_2050627015.tif,0,test_request_form,phillip_morris_test_distribution
test_request_form/2058003961.tif,ted_bates_export_invoice/0001219583.tif,0,test_request_form,ted_bates_export_invoice
test_request_form/2058003688.tif,rjrt/516523574.tif,0,test_request_form,rjrt
test_request_form/2058003684_2058003685.tif,choice_line_postage-paid_envelope_enclosed/507691643.tif,0,test_request_form,choice_line_postage-paid_envelope_enclosed
test_request_form/2058003961.tif,philip_morris_retailer/2061869041.tif,0,test_request_form,philip_morris_retailer
test_request_form/2058003961.tif,cigarette_portifolio_screening_questionnaire/84458522_8528.tif,0,test_request_form,cigarette_portifolio_screening_questionnaire
test_request_form/2058003922.tif,product_opinion_laboratory/2024001768_2024001769.tif,0,test_request_form,product_opinion_laboratory
test_request_form/2058003944.tif,cigarette_portifolio_screening_questionnaire/84458347_8353.tif,0,test_request_form,cigarette_portifolio_screening_questionnaire
test_request_form/2058003944.tif,final_specifications/506466383_506466393.tif,0,test_request_form,final_specifications
test_request_form/2058003684_2058003685.tif,joes_vip_headquarters_dear_valued_costumer/518302370+-2371.tif,0,test_request_form,joes_vip_headquarters_dear_valued_costumer
microbiological_associates_invoice/87103744.tif,microbiological_associates_invoice/87103742.tif,1,microbiological_associates_invoice,microbiological_associates_invoice
microbiological_associates_invoice/87103744.tif,microbiological_associates_invoice/87103742.tif,1,microbiological_associates_invoice,microbiological_associates_invoice
microbiological_associates_invoice/87103744.tif,microbiological_associates_invoice/87103743.tif,1,microbiological_associates_invoice,microbiological_associates_invoice
microbiological_associates_invoice/87103743.tif,microbiological_associates_invoice/87104266.tif,1,microbiological_associates_invoice,microbiological_associates_invoice
microbiological_associates_invoice/87103743.tif,microbiological_associates_invoice/87104266.tif,1,microbiological_associates_invoice,microbiological_associates_invoice
microbiological_associates_invoice/87103743.tif,microbiological_associates_invoice/87103742.tif,1,microbiological_associates_invoice,microbiological_associates_invoice
microbiological_associates_invoice/87103743.tif,microbiological_associates_invoice/87104266.tif,1,microbiological_associates_invoice,microbiological_associates_invoice
microbiological_associates_invoice/87104266.tif,microbiological_associates_invoice/87103744.tif,1,microbiological_associates_invoice,microbiological_associates_invoice
microbiological_associates_invoice/87103742.tif,microbiological_associates_invoice/87103743.tif,1,microbiological_associates_invoice,microbiological_associates_invoice
microbiological_associates_invoice/87103744.tif,microbiological_associates_invoice/87103743.tif,1,microbiological_associates_invoice,microbiological_associates_invoice
microbiological_associates_invoice/87103743.tif,screener_2/2041079398_2041079406.tif,0,microbiological_associates_invoice,screener_2
microbiological_associates_invoice/87103744.tif,document_control_project/0000169656.tif,0,microbiological_associates_invoice,document_control_project
microbiological_associates_invoice/87103742.tif,analytical_information/504510820.tif,0,microbiological_associates_invoice,analytical_information
microbiological_associates_invoice/87103744.tif,reynolds_production_estimate/506593674+-3674.tif,0,microbiological_associates_invoice,reynolds_production_estimate
microbiological_associates_invoice/87103744.tif,philip_morris_retailer/2062415794.tif,0,microbiological_associates_invoice,philip_morris_retailer
microbiological_associates_invoice/87104266.tif,brown_williamson_tobacco_corporation/0001437968.tif,0,microbiological_associates_invoice,brown_williamson_tobacco_corporation
microbiological_associates_invoice/87104266.tif,philip_morris_retailer/2064915268.tif,0,microbiological_associates_invoice,philip_morris_retailer
microbiological_associates_invoice/87103743.tif,material_barcode/2057404351_2057404360.tif,0,microbiological_associates_invoice,material_barcode
microbiological_associates_invoice/87103743.tif,ted_bates_production_estimate/0001136424.tif,0,microbiological_associates_invoice,ted_bates_production_estimate
microbiological_associates_invoice/87103743.tif,corporate_manufacturing_specifications_system/0001482917.tif,0,microbiological_associates_invoice,corporate_manufacturing_specifications_system
screener_2/2040251430.tif,screener_2/2041078996.tif,1,screener_2,screener_2
screener_2/2040251430.tif,screener_2/2041075660_2041075670.tif,1,screener_2,screener_2
screener_2/2040251430.tif,screener_2/2041078986.tif,1,screener_2,screener_2
screener_2/2041078996.tif,screener_2/2041078986.tif,1,screener_2,screener_2
screener_2/2041078986.tif,screener_2/2041076199_2041076204.tif,1,screener_2,screener_2
screener_2/2041078996.tif,screener_2/2041078986.tif,1,screener_2,screener_2
screener_2/2041076199_2041076204.tif,screener_2/2041078996.tif,1,screener_2,screener_2
screener_2/2041074986.tif,screener_2/2041075660_2041075670.tif,1,screener_2,screener_2
screener_2/2040251430.tif,screener_2/2041075660_2041075670.tif,1,screener_2,screener_2
screener_2/2040251430.tif,screener_2/2041078986.tif,1,screener_2,screener_2
screener_2/2041075290_2041075298.tif,alpha_recognition_thresold_attribute_profile/506389263.tif,0,screener_2,alpha_recognition_thresold_attribute_profile
screener_2/2041078986.tif,cigarrete_specification/2069739473.tif,0,screener_2,cigarrete_specification
screener_2/2041078986.tif,test_specifications_final_report/512410041.tif,0,screener_2,test_specifications_final_report
screener_2/2041076199_2041076204.tif,customer_ledger/95824385.tif,0,screener_2,customer_ledger
screener_2/2041076199_2041076204.tif,test_request_form/2058003944.tif,0,screener_2,test_request_form
screener_2/2041075660_2041075670.tif,phillip_morris_inter-office_correspondence/2054500277_2054500278.tif,0,screener_2,phillip_morris_inter-office_correspondence
screener_2/2040251430.tif,participation_verification_form/2070001584_1585.tif,0,screener_2,participation_verification_form
screener_2/2041076199_2041076204.tif,analytical_information/504524990.tif,0,screener_2,analytical_information
screener_2/2041075660_2041075670.tif,confidential_progress_report/0071036475.tif,0,screener_2,confidential_progress_report
screener_2/2041074724.tif,proejct_number_title_leader/2001117060.tif,0,screener_2,proejct_number_title_leader
infbio_vorgang/2505104445.tif,infbio_vorgang/2505108335.tif,1,infbio_vorgang,infbio_vorgang
infbio_vorgang/2505104445.tif,infbio_vorgang/2505108335.tif,1,infbio_vorgang,infbio_vorgang
infbio_vorgang/2505108335.tif,infbio_vorgang/2505104445.tif,1,infbio_vorgang,infbio_vorgang
infbio_vorgang/2505104445.tif,infbio_vorgang/2505100571.tif,1,infbio_vorgang,infbio_vorgang
infbio_vorgang/2505100571.tif,infbio_vorgang/2505108335.tif,1,infbio_vorgang,infbio_vorgang
infbio_vorgang/2505100571.tif,infbio_vorgang/2505108335.tif,1,infbio_vorgang,infbio_vorgang
infbio_vorgang/2505108335.tif,infbio_vorgang/2505100571.tif,1,infbio_vorgang,infbio_vorgang
infbio_vorgang/2505100571.tif,infbio_vorgang/2505104445.tif,1,infbio_vorgang,infbio_vorgang
infbio_vorgang/2505100571.tif,infbio_vorgang/2505104445.tif,1,infbio_vorgang,infbio_vorgang
infbio_vorgang/2505108335.tif,infbio_vorgang/2505104445.tif,1,infbio_vorgang,infbio_vorgang
infbio_vorgang/2505100571.tif,department_marketing_research/516522749_516522755.tif,0,infbio_vorgang,department_marketing_research
infbio_vorgang/2505108335.tif,mutagenicity_evaluation_of/80215025_5041.tif,0,infbio_vorgang,mutagenicity_evaluation_of
infbio_vorgang/2505108335.tif,material_safery_data_sheet_3/2057467331_2057467332.tif,0,infbio_vorgang,material_safery_data_sheet_3
infbio_vorgang/2505104445.tif,product_or_material_change_request/2051762801.tif,0,infbio_vorgang,product_or_material_change_request
infbio_vorgang/2505104445.tif,inbifoo_monthly_report/2501659808.tif,0,infbio_vorgang,inbifoo_monthly_report
infbio_vorgang/2505108335.tif,cigarette_portifolio_screening_questionnaire/84458459_8465.tif,0,infbio_vorgang,cigarette_portifolio_screening_questionnaire
infbio_vorgang/2505104445.tif,brown_and_williamson_tobacco_corporation/0011832880.tif,0,infbio_vorgang,brown_and_williamson_tobacco_corporation
infbio_vorgang/2505108335.tif,please_tell_us_what_you_think/518139532+-9533.tif,0,infbio_vorgang,please_tell_us_what_you_think
infbio_vorgang/2505100571.tif,confidential_progress_report/0060351122.tif,0,infbio_vorgang,confidential_progress_report
infbio_vorgang/2505100571.tif,order_form_for_support_the_law_materials/515240205+-0205.tif,0,infbio_vorgang,order_form_for_support_the_law_materials
joes_vip_headquarters_dear_valued_costumer/518301897+-1898.tif,joes_vip_headquarters_dear_valued_costumer/518302376+-2377.tif,1,joes_vip_headquarters_dear_valued_costumer,joes_vip_headquarters_dear_valued_costumer
