file_a_path,file_b_path,is_equal,class_a_name,class_b_name
microbiological_associates_invoice/87104266.tif,microbiological_associates_invoice/87103743.tif,1,microbiological_associates_invoice,microbiological_associates_invoice
microbiological_associates_invoice/87103742.tif,microbiological_associates_invoice/87104266.tif,1,microbiological_associates_invoice,microbiological_associates_invoice
microbiological_associates_invoice/87104266.tif,microbiological_associates_invoice/87103743.tif,1,microbiological_associates_invoice,microbiological_associates_invoice
microbiological_associates_invoice/87103742.tif,microbiological_associates_invoice/87104266.tif,1,microbiological_associates_invoice,microbiological_associates_invoice
microbiological_associates_invoice/87103744.tif,microbiological_associates_invoice/87104266.tif,1,microbiological_associates_invoice,microbiological_associates_invoice
microbiological_associates_invoice/87104266.tif,microbiological_associates_invoice/87104266.tif,1,microbiological_associates_invoice,microbiological_associates_invoice
microbiological_associates_invoice/87103743.tif,microbiological_associates_invoice/87103742.tif,1,microbiological_associates_invoice,microbiological_associates_invoice
microbiological_associates_invoice/87103743.tif,microbiological_associates_invoice/87103743.tif,1,microbiological_associates_invoice,microbiological_associates_invoice
microbiological_associates_invoice/87104266.tif,microbiological_associates_invoice/87103744.tif,1,microbiological_associates_invoice,microbiological_associates_invoice
microbiological_associates_invoice/87103742.tif,microbiological_associates_invoice/87103744.tif,1,microbiological_associates_invoice,microbiological_associates_invoice
microbiological_associates_invoice/87103743.tif,quality_assurance_specifications/0011908982.tif,0,microbiological_associates_invoice,quality_assurance_specifications
microbiological_associates_invoice/87103744.tif,infbio_vorgang/2505108335.tif,0,microbiological_associates_invoice,infbio_vorgang
microbiological_associates_invoice/87103742.tif,healthy_buildings_international/2029370091.tif,0,microbiological_associates_invoice,healthy_buildings_international
microbiological_associates_invoice/87103742.tif,quality_assurance_specifications/0060031803.tif,0,microbiological_associates_invoice,quality_assurance_specifications
microbiological_associates_invoice/87103742.tif,winston_and_strawn/2074824995.tif,0,microbiological_associates_invoice,winston_and_strawn
microbiological_associates_invoice/87104266.tif,certificate_of_insurance/2063195305.tif,0,microbiological_associates_invoice,certificate_of_insurance
microbiological_associates_invoice/87103743.tif,notice_of_service_of_process/82535460.tif,0,microbiological_associates_invoice,notice_of_service_of_process
microbiological_associates_invoice/87103743.tif,joes_vip_headquarters_dear_valued_costumer/518301912+-1913.tif,0,microbiological_associates_invoice,joes_vip_headquarters_dear_valued_costumer
microbiological_associates_invoice/87104266.tif,tracking_study/2060040312_2060040321.tif,0,microbiological_associates_invoice,tracking_study
microbiological_associates_invoice/87103742.tif,alpha_recognition_thresold_attribute_profile/506389339.tif,0,microbiological_associates_invoice,alpha_recognition_thresold_attribute_profile
screener_2/2041074724.tif,screener_2/2040251430.tif,1,screener_2,screener_2
screener_2/2041075290_2041075298.tif,screener_2/2040251430.tif,1,screener_2,screener_2
screener_2/2041074986.tif,screener_2/2041075290_2041075298.tif,1,screener_2,screener_2
screener_2/2041074724.tif,screener_2/2041075660_2041075670.tif,1,screener_2,screener_2
screener_2/2041078986.tif,screener_2/2041076199_2041076204.tif,1,screener_2,screener_2
screener_2/2041078996.tif,screener_2/2041074724.tif,1,screener_2,screener_2
screener_2/2041075290_2041075298.tif,screener_2/2041078986.tif,1,screener_2,screener_2
screener_2/2041074724.tif,screener_2/2041075290_2041075298.tif,1,screener_2,screener_2
screener_2/2041079398_2041079406.tif,screener_2/2041074724.tif,1,screener_2,screener_2
screener_2/2041079398_2041079406.tif,screener_2/2041075290_2041075298.tif,1,screener_2,screener_2
screener_2/2041075290_2041075298.tif,consumer_promotion_fact_sheet/505758993+-8996.tif,0,screener_2,consumer_promotion_fact_sheet
screener_2/2041074724.tif,phillip_morris_inter-office_correspondence/2054956054_2054956055.tif,0,screener_2,phillip_morris_inter-office_correspondence
screener_2/2040251430.tif,competitive_information_rjreynolds/83934559.tif,0,screener_2,competitive_information_rjreynolds
screener_2/2041075290_2041075298.tif,repocus_interview/0001231606.tif,0,screener_2,repocus_interview
screener_2/2041078986.tif,political_campaing_contribution_request/ti16310526.tif,0,screener_2,political_campaing_contribution_request
screener_2/2040251430.tif,mutagenicity_evaluation_of/00840204_0222.tif,0,screener_2,mutagenicity_evaluation_of
screener_2/2041078996.tif,for_kool_and_cigarette_study/0001233193.tif,0,screener_2,for_kool_and_cigarette_study
screener_2/2040251430.tif,material_safety_data_sheet_2/2057409820_2057409821.tif,0,screener_2,material_safety_data_sheet_2
screener_2/2041078986.tif,material_safety_data_sheet_2/2057408889_2057408890.tif,0,screener_2,material_safety_data_sheet_2
screener_2/2041076199_2041076204.tif,marlboro_bar_program_contract_top_sheet/2083828834.tif,0,screener_2,marlboro_bar_program_contract_top_sheet
infbio_vorgang/2505104445.tif,infbio_vorgang/2505108335.tif,1,infbio_vorgang,infbio_vorgang
infbio_vorgang/2505104445.tif,infbio_vorgang/2505108335.tif,1,infbio_vorgang,infbio_vorgang
infbio_vorgang/2505100571.tif,infbio_vorgang/2505104445.tif,1,infbio_vorgang,infbio_vorgang
infbio_vorgang/2505100571.tif,infbio_vorgang/2505108335.tif,1,infbio_vorgang,infbio_vorgang
infbio_vorgang/2505104445.tif,infbio_vorgang/2505108335.tif,1,infbio_vorgang,infbio_vorgang
infbio_vorgang/2505100571.tif,infbio_vorgang/2505108335.tif,1,infbio_vorgang,infbio_vorgang
infbio_vorgang/2505104445.tif,infbio_vorgang/2505100571.tif,1,infbio_vorgang,infbio_vorgang
infbio_vorgang/2505108335.tif,infbio_vorgang/2505104445.tif,1,infbio_vorgang,infbio_vorgang
infbio_vorgang/2505100571.tif,infbio_vorgang/2505104445.tif,1,infbio_vorgang,infbio_vorgang
infbio_vorgang/2505104445.tif,infbio_vorgang/2505108335.tif,1,infbio_vorgang,infbio_vorgang
infbio_vorgang/2505104445.tif,philip_morris_confidential_blend_composition/2055013905.tif,0,infbio_vorgang,philip_morris_confidential_blend_composition
infbio_vorgang/2505100571.tif,joes_vip_headquarters_dear_valued_costumer/514879134+-9135.tif,0,infbio_vorgang,joes_vip_headquarters_dear_valued_costumer
infbio_vorgang/2505108335.tif,winston_dear_valued_costumer/518291765+-1766.tif,0,infbio_vorgang,winston_dear_valued_costumer
infbio_vorgang/2505104445.tif,phillip_morris_inter-office_correspondence/2054500277_2054500278.tif,0,infbio_vorgang,phillip_morris_inter-office_correspondence
infbio_vorgang/2505108335.tif,product_or_material_change_request/2055402039.tif,0,infbio_vorgang,product_or_material_change_request
infbio_vorgang/2505100571.tif,certificate_of_insurance/2063195305.tif,0,infbio_vorgang,certificate_of_insurance
infbio_vorgang/2505104445.tif,rjrt/516523574.tif,0,infbio_vorgang,rjrt
infbio_vorgang/2505108335.tif,material_safety_data_sheet/2051541297_2051541306.tif,0,infbio_vorgang,material_safety_data_sheet
infbio_vorgang/2505100571.tif,philip_morris_confidential_blend_composition/2055013905.tif,0,infbio_vorgang,philip_morris_confidential_blend_composition
infbio_vorgang/2505104445.tif,material_safery_data_sheet_3/2057467441_2057467442.tif,0,infbio_vorgang,material_safery_data_sheet_3
joes_vip_headquarters_dear_valued_costumer/518302385+-2386.tif,joes_vip_headquarters_dear_valued_costumer/518301892+-1893.tif,1,joes_vip_headquarters_dear_valued_costumer,joes_vip_headquarters_dear_valued_costumer
joes_vip_headquarters_dear_valued_costumer/518219637+-9638.tif,joes_vip_headquarters_dear_valued_costumer/514879967+-9968.tif,1,joes_vip_headquarters_dear_valued_costumer,joes_vip_headquarters_dear_valued_costumer
joes_vip_headquarters_dear_valued_costumer/514879666+-9667.tif,joes_vip_headquarters_dear_valued_costumer/518219790+-9791.tif,1,joes_vip_headquarters_dear_valued_costumer,joes_vip_headquarters_dear_valued_costumer
joes_vip_headquarters_dear_valued_costumer/518219787+-9788.tif,joes_vip_headquarters_dear_valued_costumer/518301892+-1893.tif,1,joes_vip_headquarters_dear_valued_costumer,joes_vip_headquarters_dear_valued_costumer
joes_vip_headquarters_dear_valued_costumer/518302430+-2431.tif,joes_vip_headquarters_dear_valued_costumer/518219488+-9489.tif,1,joes_vip_headquarters_dear_valued_costumer,joes_vip_headquarters_dear_valued_costumer
